JUnit version 4.13.2
2024-11-12 17:37:32,931 INFO  EvoClassLoader - Instrumenting class 'org.apache.log4j.spi.RepositorySelector'.
2024-11-12 17:37:32,932 INFO  EvoClassLoader - Keeping class: org.apache.log4j.spi.RepositorySelector
2024-11-12 17:37:32,932 INFO  EvoClassLoader - Seeing class for first time: org.apache.log4j.Hierarchy
2024-11-12 17:37:32,932 INFO  EvoClassLoader - Instrumenting class 'org.apache.log4j.Hierarchy'.
2024-11-12 17:37:32,933 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/log4j/Hierarchy
2024-11-12 17:37:32,935 INFO  CreateClassResetClassAdapter - Creating brand-new static initializer in class org/apache/log4j/Hierarchy
2024-11-12 17:37:32,935 INFO  EvoClassLoader - Seeing class for first time: org.apache.log4j.spi.RendererSupport
2024-11-12 17:37:32,935 INFO  EvoClassLoader - Instrumenting class 'org.apache.log4j.spi.RendererSupport'.
2024-11-12 17:37:32,936 INFO  EvoClassLoader - Keeping class: org.apache.log4j.spi.RendererSupport
2024-11-12 17:37:32,936 INFO  EvoClassLoader - Seeing class for first time: org.apache.log4j.spi.ThrowableRendererSupport
2024-11-12 17:37:32,936 INFO  EvoClassLoader - Instrumenting class 'org.apache.log4j.spi.ThrowableRendererSupport'.
2024-11-12 17:37:32,937 INFO  EvoClassLoader - Keeping class: org.apache.log4j.spi.ThrowableRendererSupport
2024-11-12 17:37:32,937 INFO  EvoClassLoader - Keeping class: org.apache.log4j.Hierarchy
2024-11-12 17:37:32,937 INFO  EvoClassLoader - Seeing class for first time: org.apache.log4j.spi.LoggerFactory
2024-11-12 17:37:32,937 INFO  EvoClassLoader - Instrumenting class 'org.apache.log4j.spi.LoggerFactory'.
2024-11-12 17:37:32,937 INFO  EvoClassLoader - Keeping class: org.apache.log4j.spi.LoggerFactory
2024-11-12 17:37:32,938 INFO  EvoClassLoader - Seeing class for first time: org.apache.log4j.or.RendererMap
2024-11-12 17:37:32,938 INFO  EvoClassLoader - Instrumenting class 'org.apache.log4j.or.RendererMap'.
2024-11-12 17:37:32,938 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/log4j/or/RendererMap
2024-11-12 17:37:32,940 INFO  CreateClassResetClassAdapter - Found static initializer in class org/apache/log4j/or/RendererMap
2024-11-12 17:37:32,940 INFO  EvoClassLoader - Keeping class: org.apache.log4j.or.RendererMap
2024-11-12 17:37:32,940 INFO  EvoClassLoader - Seeing class for first time: org.apache.log4j.or.ObjectRenderer
2024-11-12 17:37:32,940 INFO  EvoClassLoader - Instrumenting class 'org.apache.log4j.or.ObjectRenderer'.
2024-11-12 17:37:32,941 INFO  EvoClassLoader - Keeping class: org.apache.log4j.or.ObjectRenderer
2024-11-12 17:37:32,941 INFO  EvoClassLoader - Seeing class for first time: org.apache.log4j.or.DefaultRenderer
2024-11-12 17:37:32,941 INFO  EvoClassLoader - Instrumenting class 'org.apache.log4j.or.DefaultRenderer'.
2024-11-12 17:37:32,941 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/log4j/or/DefaultRenderer
2024-11-12 17:37:32,942 INFO  CreateClassResetClassAdapter - Creating brand-new static initializer in class org/apache/log4j/or/DefaultRenderer
2024-11-12 17:37:32,942 INFO  EvoClassLoader - Keeping class: org.apache.log4j.or.DefaultRenderer
2024-11-12 17:37:32,942 INFO  EvoClassLoader - Seeing class for first time: org.apache.log4j.DefaultCategoryFactory
2024-11-12 17:37:32,942 INFO  EvoClassLoader - Instrumenting class 'org.apache.log4j.DefaultCategoryFactory'.
2024-11-12 17:37:32,942 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/log4j/DefaultCategoryFactory
2024-11-12 17:37:32,942 INFO  CreateClassResetClassAdapter - Creating brand-new static initializer in class org/apache/log4j/DefaultCategoryFactory
2024-11-12 17:37:32,942 INFO  EvoClassLoader - Keeping class: org.apache.log4j.DefaultCategoryFactory
2024-11-12 17:37:32,943 INFO  EvoClassLoader - Seeing class for first time: org.apache.log4j.spi.DefaultRepositorySelector
2024-11-12 17:37:32,943 INFO  EvoClassLoader - Instrumenting class 'org.apache.log4j.spi.DefaultRepositorySelector'.
2024-11-12 17:37:32,943 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/log4j/spi/DefaultRepositorySelector
2024-11-12 17:37:32,943 INFO  CreateClassResetClassAdapter - Creating brand-new static initializer in class org/apache/log4j/spi/DefaultRepositorySelector
